order_id,order_date,ship_date,customer_id,customer_name,region,category,product_name,quantity,unit_price,unit_cost,discount,year,quarter,month,month_name,month_year,day_of_week,days_to_ship,revenue,total_cost,profit,profit_margin,order_value,order_month,cohort_month,cohort_index,recency,frequency,monetary,r_score,f_score,m_score,rfm_total,customer_segment
ORD00001,2024-02-08,2024-02-12,CUST0367,Victor Thomas,South,Office Supplies,Printer Paper,2,47.41,19.24,0.09,2024,Q1,2,Feb,2024-02,Thursday,4.0,86.29,38.48,47.81,55.41,86.29,2024-02,2023-04,10,185,10,15735.21,1,2,5,8,Others
ORD00002,2022-03-26,2022-03-29,CUST0273,Bob Jackson,Central,Electronics,USB-C Hub,1,51.08,14.22,0.06,2022,Q1,3,Mar,2022-03,Saturday,3.0,48.02,14.22,33.8,70.39,48.02,2022-03,2022-02,1,215,11,3815.01,1,2,2,5,Others
ORD00003,2024-01-12,2024-01-18,CUST0236,Liam Thompson,Central,Office Supplies,Printer Paper,1,51.07,18.93,0.07,2024,Q1,1,Jan,2024-01,Friday,6.0,47.5,18.93,28.57,60.15,47.5,2024-01,2022-04,21,182,12,8181.66,1,3,4,8,Lost Customers
ORD00004,2024-06-11,2024-06-18,CUST0375,Carol Jackson,South,Office Supplies,Desk Organizer,2,39.29,11.07,0.05,2024,Q2,6,Jun,2024-06,Tuesday,7.0,74.65,22.14,52.51,70.34,74.65,2024-06,2022-01,29,2,16,5754.49,5,5,3,13,Loyal Customers
ORD00005,2024-02-16,2024-02-19,CUST0015,Iris Smith,West,Electronics,USB-C Hub,2,51.5,13.43,0.05,2024,Q1,2,Feb,2024-02,Friday,3.0,97.85,26.86,70.99,72.55,97.85,2024-02,2022-07,19,22,17,11310.92,4,5,5,14,Champions
ORD00006,2023-07-20,2023-07-25,CUST0006,Carol Robinson,South,Furniture,Bookshelf,4,201.48,70.16,0.03,2023,Q3,7,Jul,2023-07,Thursday,5.0,781.74,280.64,501.1,64.1,781.74,2023-07,2022-10,9,30,11,6400.42,4,2,3,9,New Customers
ORD00007,2024-10-02,2024-10-06,CUST0009,Grace Davis,South,Clothing,Winter Jacket,2,230.24,84.34,0.03,2024,Q4,10,Oct,2024-10,Wednesday,4.0,446.67,168.68,277.99,62.24,446.67,2024-10,2022-08,26,79,18,2978.4,2,5,1,8,At Risk
ORD00008,2024-05-21,2024-05-27,CUST0282,Quinn Martinez,East,Office Supplies,Sticky Notes Bulk,2,18.98,4.98,0.11,2024,Q2,5,May,2024-05,Tuesday,6.0,33.78,9.96,23.82,70.52,33.78,2024-05,2022-05,24,56,17,8003.92,3,5,4,12,Loyal Customers
ORD00009,2023-01-15,2023-01-17,CUST0111,Yara Miller,Central,Office Supplies,Stapler Heavy Duty,1,26.58,9.32,0.04,2023,Q1,1,Jan,2023-01,Sunday,2.0,25.52,9.32,16.2,63.48,25.52,2023-01,2022-01,12,8,16,10695.26,5,5,5,15,Champions
ORD00010,2023-04-11,2023-04-14,CUST0092,Rachel Martin,South,Sports & Outdoors,Pull-up Bar Doorway,1,82.02,30.89,0.11,2023,Q2,4,Apr,2023-04,Tuesday,3.0,73.0,30.89,42.11,57.68,73.0,2023-04,2022-01,15,21,14,14814.98,4,4,5,13,Champions
